date,tnk_numb,yapa,sio_si,b_one,b_two,b_three,b_four,b_five,b_six,tnk_0-9
2026-04-29,37 - 20 - 23 - 51 - 39 - 45,53,29 - 12 - 07 - 33,37,20,23,51,39,45,"20, 23, 37, 39, 45, 51"
2026-04-26,19 - 20 - 18 - 11 - 44 - 03,8,12 - 48,19,20,18,11,44,3,"03, 11, 18, 19, 20, 44"
2026-04-22,22 - 01 - 40 - 52 - 23 - 25,11,20 - 51 - 44,22,1,40,52,23,25,"01, 22, 23, 25, 40, 52"
2026-04-19,31 - 36 - 50 - 17 - 32 - 28,2,10 - 09,31,36,50,17,32,28,"17, 28, 31, 32, 36, 50"
2026-04-15,32 - 31 - 46 - 51 - 24 - 06,7,09 - 43 - 38 - 01,32,31,46,51,24,6,"06, 24, 31, 32, 46, 51"
2026-04-12,42 - 38 - 49 - 14 - 34 - 12,5,35 - 17 - 39,42,38,49,14,34,12,"12, 14, 34, 38, 42, 49"
2026-04-08,14 - 20 - 11 - 28 - 04 - 46,22,,14,20,11,28,4,46,"04, 11, 14, 20, 28, 46"
2026-04-05,10 - 50 - 42 - 14 - 35 - 12,47,33 - 01 - 44,10,50,42,14,35,12,"10, 12, 14, 35, 42, 50"
2026-04-01,25 - 23 - 14 - 42 - 37 - 01,2,10 - 09,25,23,14,42,37,1,"01, 14, 23, 25, 37, 42"
2026-03-29,07 - 08 - 18 - 39 - 26 - 53,37,27,7,8,18,39,26,53,"07, 08, 18, 26, 39, 53"
2026-03-25,14 - 11 - 25 - 08 - 23 - 12,18,28 - 30 - 48 - 34,14,11,25,8,23,12,"08, 11, 12, 14, 23, 25"
2026-03-22,07 - 17 - 14 - 46 - 09 - 44,34,10 - 06 - 31 - 02,7,17,14,46,9,44,"07, 09, 14, 17, 44, 46"
2026-03-18,16 - 27 - 37 - 48 - 35 - 15,2,33 - 08,16,27,37,48,35,15,"15, 16, 27, 35, 37, 48"
2026-03-15,07 - 08 - 29 - 19 - 04 - 03,44,45 - 27,7,8,29,19,4,3,"03, 04, 07, 08, 19, 29"
2026-03-11,52 - 37 - 32 - 13 - 18 - 06,50,42 - 15,52,37,32,13,18,6,"06, 13, 18, 32, 37, 52"
2026-03-08,49 - 21 - 48 - 14 - 24 - 06,18,09 - 02 - 41,49,21,48,14,24,6,"06, 14, 21, 24, 48, 49"
2026-03-04,21 - 28 - 36 - 22 - 24 - 16,41,49 - 32,21,28,36,22,24,16,"16, 21, 22, 24, 28, 36"
2026-03-01,14 - 05 - 31 - 32 - 09 - 22,46,27 - 34,14,5,31,32,9,22,"05, 09, 14, 22, 31, 32"
2026-02-25,17 - 22 - 18 - 11 - 35 - 44,50,03,17,22,18,11,35,44,"11, 17, 18, 22, 35, 44"
