id_tinka,date,lucky_numbers,check,b_one,b_two,b_three,b_four,b_five,b_six,yapa,sio_si
1290,2026-04-15,32 - 31 - 46 - 51 - 24 - 06,"06, 24, 31, 32, 46, 51",32,31,46,51,24,6,7,09 - 43 - 38 - 01
1289,2026-04-12,42 - 38 - 49 - 14 - 34 - 12,"12, 14, 34, 38, 42, 49",42,38,49,14,34,12,5,35 - 17 - 39
1288,2026-04-08,14 - 20 - 11 - 28 - 04 - 46,"04, 11, 14, 20, 28, 46",14,20,11,28,4,46,22,
1287,2026-04-05,10 - 50 - 42 - 14 - 35 - 12,"10, 12, 14, 35, 42, 50",10,50,42,14,35,12,47,33 - 01 - 44
1286,2026-04-01,25 - 23 - 14 - 42 - 37 - 01,"01, 14, 23, 25, 37, 42",25,23,14,42,37,1,2,10 - 09
1285,2026-03-29,07 - 08 - 18 - 39 - 26 - 53,"07, 08, 18, 26, 39, 53",7,8,18,39,26,53,37,27
1284,2026-03-25,14 - 11 - 25 - 08 - 23 - 12,"08, 11, 12, 14, 23, 25",14,11,25,8,23,12,18,28 - 30 - 48 - 34
1283,2026-03-22,07 - 17 - 14 - 46 - 09 - 44,"07, 09, 14, 17, 44, 46",7,17,14,46,9,44,34,10 - 06 - 31 - 02
1282,2026-03-18,16 - 27 - 37 - 48 - 35 - 15,"15, 16, 27, 35, 37, 48",16,27,37,48,35,15,2,33 - 08
1281,2026-03-15,07 - 08 - 29 - 19 - 04 - 03,"03, 04, 07, 08, 19, 29",7,8,29,19,4,3,44,45 - 27
1280,2026-03-11,52 - 37 - 32 - 13 - 18 - 06,"06, 13, 18, 32, 37, 52",52,37,32,13,18,6,50,42 - 15
1279,2026-03-08,49 - 21 - 48 - 14 - 24 - 06,"06, 14, 21, 24, 48, 49",49,21,48,14,24,6,18,09 - 02 - 41
1278,2026-03-04,21 - 28 - 36 - 22 - 24 - 16,"16, 21, 22, 24, 28, 36",21,28,36,22,24,16,41,49 - 32
1277,2026-03-01,14 - 05 - 31 - 32 - 09 - 22,"05, 09, 14, 22, 31, 32",14,5,31,32,9,22,46,27 - 34
1276,2026-02-25,17 - 22 - 18 - 11 - 35 - 44,"11, 17, 18, 22, 35, 44",17,22,18,11,35,44,50,03
1275,2026-02-22,43 - 49 - 26 - 46 - 23 - 24,"23, 24, 26, 43, 46, 49",43,49,26,46,23,24,17,03 - 39 - 10
1274,2026-02-18,02 - 32 - 42 - 33 - 07 - 22,"02, 07, 22, 32, 33, 42",2,32,42,33,7,22,30,01 - 19 - 09
1273,2026-02-15,22 - 05 - 40 - 24 - 41 - 09,"05, 09, 22, 24, 40, 41",22,5,40,24,41,9,4,44 - 07 - 36
1272,2026-02-11,23 - 44 - 11 - 15 - 05 - 34,"05, 11, 15, 23, 34, 44",23,44,11,15,5,34,22,38 - 14 - 47
1271,2026-02-08,15 - 24 - 28 - 23 - 05 - 41,"05, 15, 23, 24, 28, 41",15,24,28,23,5,41,50,39 - 27
1270,2026-02-04,27 - 18 - 25 - 38 - 07 - 43,"07, 18, 25, 27, 38, 43",27,18,25,38,7,43,9,04
1269,2026-02-01,48 - 02 - 45 - 36 - 43 - 41,"02, 36, 41, 43, 45, 48",48,2,45,36,43,41,19,17 - 11 - 05 - 18
1268,2026-01-28,29 - 34 - 19 - 33 - 38 - 03,"03, 19, 29, 33, 34, 38",29,34,19,33,38,3,40,17 - 16 - 25
1267,2026-01-25,04 - 19 - 28 - 08 - 35 - 43,"04, 08, 19, 28, 35, 43",4,19,28,8,35,43,11,
1266,2026-01-21,45 - 27 - 15 - 01 - 31 - 21,"01, 15, 21, 27, 31, 45",45,27,15,1,31,21,44,03 - 41 - 50 - 32
1265,2026-01-18,01 - 28 - 31 - 37 - 11 - 09,"01, 09, 11, 28, 31, 37",1,28,31,37,11,9,26,08 - 50
1264,2026-01-14,33 - 18 - 42 - 07 - 20 - 12,"07, 12, 18, 20, 33, 42",33,18,42,7,20,12,22,28 - 21
1263,2026-01-11,38 - 28 - 17 - 40 - 35 - 05,"05, 17, 28, 35, 38, 40",38,28,17,40,35,5,11,49 - 19
1262,2026-01-07,05 - 34 - 26 - 02 - 09 - 47,"02, 05, 09, 26, 34, 47",5,34,26,2,9,47,40,35 - 27 - 49
1261,2026-01-04,23 - 49 - 26 - 48 - 39 - 21,"21, 23, 26, 39, 48, 49",23,49,26,48,39,21,1,30
1260,2025-12-31,38 - 35 - 44 - 47 - 37 - 28,"28, 35, 37, 38, 44, 47",38,35,44,47,37,28,45,03 - 49
1259,2025-12-28,06 - 13 - 31 - 22 - 11 - 16,"06, 11, 13, 16, 22, 31",6,13,31,22,11,16,19,15 - 10
1258,2025-12-24,16 - 13 - 31 - 08 - 24 - 33,"08, 13, 16, 24, 31, 33",16,13,31,8,24,33,1,45 - 11 - 22
1257,2025-12-21,25 - 27 - 23 - 36 - 14 - 10,"10, 14, 23, 25, 27, 36",25,27,23,36,14,10,38,03
1256,2025-12-17,14 - 25 - 10 - 13 - 12 - 39,"10, 12, 13, 14, 25, 39",14,25,10,13,12,39,49,37 - 09 - 29
1255,2025-12-14,19 - 37 - 50 - 27 - 35 - 14,"14, 19, 27, 35, 37, 50",19,37,50,27,35,14,39,08
1254,2025-12-10,36 - 21 - 07 - 38 - 47 - 48,"07, 21, 36, 38, 47, 48",36,21,7,38,47,48,3,23 - 01 - 50
1253,2025-12-07,45 - 46 - 32 - 28 - 11 - 43,"11, 28, 32, 43, 45, 46",45,46,32,28,11,43,35,10 - 02
1252,2025-12-03,29 - 25 - 28 - 43 - 12 - 33,"12, 25, 28, 29, 33, 43",29,25,28,43,12,33,27,31 - 26 - 34 - 37
1251,2025-11-30,38 - 01 - 32 - 37 - 34 - 50,"01, 32, 34, 37, 38, 50",38,1,32,37,34,50,25,45 - 31 - 09 - 08 - 10
1250,2025-11-26,14 - 11 - 23 - 07 - 39 - 37,"07, 11, 14, 23, 37, 39",14,11,23,7,39,37,33,17 - 21
1249,2025-11-23,45 - 07 - 12 - 03 - 10 - 49,"03, 07, 10, 12, 45, 49",45,7,12,3,10,49,2,13 - 08
1248,2025-11-19,28 - 40 - 02 - 44 - 21 - 33,"02, 21, 28, 33, 40, 44",28,40,2,44,21,33,15,25
1247,2025-11-16,15 - 04 - 46 - 41 - 44 - 10,"04, 10, 15, 41, 44, 46",15,4,46,41,44,10,3,18 - 31 - 13
1246,2025-11-12,31 - 06 - 22 - 02 - 04 - 17,"02, 04, 06, 17, 22, 31",31,6,22,2,4,17,44,39 - 36
1245,2025-11-09,18 - 43 - 29 - 32 - 21 - 17,"17, 18, 21, 29, 32, 43",18,43,29,32,21,17,13,04
1244,2025-11-05,29 - 28 - 44 - 38 - 14 - 34,"14, 28, 29, 34, 38, 44",29,28,44,38,14,34,19,43 - 15 - 10 - 41
1243,2025-11-02,35 - 03 - 20 - 14 - 25 - 32,"03, 14, 20, 25, 32, 35",35,3,20,14,25,32,31,12 - 16
1242,2025-10-29,33 - 08 - 27 - 14 - 44 - 13,"08, 13, 14, 27, 33, 44",33,8,27,14,44,13,2,39 - 06 - 28 - 48
1241,2025-10-26,46 - 02 - 17 - 32 - 12 - 15,"02, 12, 15, 17, 32, 46",46,2,17,32,12,15,40,48 - 10 - 43
1240,2025-10-22,04 - 18 - 11 - 06 - 07 - 45,"04, 06, 07, 11, 18, 45",4,18,11,6,7,45,17,14 - 15
1239,2025-10-19,15 - 32 - 03 - 23 - 05 - 47,"03, 05, 15, 23, 32, 47",15,32,3,23,5,47,46,27 - 08 - 02 - 12
1238,2025-10-15,45 - 42 - 12 - 43 - 18 - 31,"12, 18, 31, 42, 43, 45",45,42,12,43,18,31,38,05 - 25
1237,2025-10-12,42 - 21 - 47 - 10 - 24 - 38,"10, 21, 24, 38, 42, 47",42,21,47,10,24,38,18,46 - 17 - 20
1236,2025-10-08,08 - 29 - 25 - 39 - 23 - 40,"08, 23, 25, 29, 39, 40",8,29,25,39,23,40,20,10 - 41 - 49 - 09 - 18
1235,2025-10-05,02 - 31 - 06 - 14 - 45 - 23,"02, 06, 14, 23, 31, 45",2,31,6,14,45,23,5,
1234,2025-10-01,13 - 36 - 37 - 41 - 14 - 10,"10, 13, 14, 36, 37, 41",13,36,37,41,14,10,1,12 - 09 - 20 - 22
1233,2025-09-28,24 - 17 - 31 - 09 - 35 - 44,"09, 17, 24, 31, 35, 44",24,17,31,9,35,44,33,03 - 11
1232,2025-09-24,21 - 39 - 43 - 46 - 31 - 24,"21, 24, 31, 39, 43, 46",21,39,43,46,31,24,41,16 - 11
1231,2025-09-21,46 - 44 - 02 - 28 - 20 - 32,"02, 20, 28, 32, 44, 46",46,44,2,28,20,32,39,
1230,2025-09-17,39 - 44 - 19 - 34 - 24 - 14,"14, 19, 24, 34, 39, 44",39,44,19,34,24,14,47,13 - 32 - 02
1229,2025-09-14,35 - 06 - 12 - 33 - 38 - 02,"02, 06, 12, 33, 35, 38",35,6,12,33,38,2,14,44 - 46
1228,2025-09-10,01 - 16 - 06 - 45 - 33 - 38,"01, 06, 16, 33, 38, 45",1,16,6,45,33,38,27,46 - 09
1227,2025-09-07,29 - 15 - 07 - 33 - 17 - 23,"07, 15, 17, 23, 29, 33",29,15,7,33,17,23,8,49
1226,2025-09-03,23 - 21 - 15 - 14 - 48 - 18,"14, 15, 18, 21, 23, 48",23,21,15,14,48,18,10,36 - 04
1225,2025-08-31,30 - 35 - 32 - 12 - 38 - 04,"04, 12, 30, 32, 35, 38",30,35,32,12,38,4,29,02
1224,2025-08-27,40 - 19 - 13 - 46 - 30 - 36,"13, 19, 30, 36, 40, 46",40,19,13,46,30,36,3,43 - 38
1223,2025-08-24,12 - 37 - 16 - 08 - 22 - 17,"08, 12, 16, 17, 22, 37",12,37,16,8,22,17,7,32 - 27
1222,2025-08-20,28 - 37 - 09 - 29 - 06 - 49,"06, 09, 28, 29, 37, 49",28,37,9,29,6,49,48,30
1221,2025-08-17,34 - 11 - 39 - 07 - 26 - 27,"07, 11, 26, 27, 34, 39",34,11,39,7,26,27,37,25 - 22
1220,2025-08-13,36 - 07 - 43 - 32 - 20 - 33,"07, 20, 32, 33, 36, 43",36,7,43,32,20,33,17,41 - 42
1219,2025-08-10,24 - 46 - 29 - 19 - 25 - 47,"19, 24, 25, 29, 46, 47",24,46,29,19,25,47,26,06 - 33 - 02
1218,2025-08-06,38 - 23 - 06 - 21 - 33 - 36,"06, 21, 23, 33, 36, 38",38,23,6,21,33,36,16,49 - 07
1217,2025-08-03,45 - 41 - 02 - 14 - 23 - 46,"02, 14, 23, 41, 45, 46",45,41,2,14,23,46,22,05 - 39
1216,2025-07-30,43 - 28 - 03 - 09 - 01 - 25,"01, 03, 09, 25, 28, 43",43,28,3,9,1,25,23,31
1215,2025-07-27,36 - 24 - 04 - 21 - 34 - 09,"04, 09, 21, 24, 34, 36",36,24,4,21,34,9,17,02
1214,2025-07-23,22 - 13 - 24 - 43 - 02 - 01,"01, 02, 13, 22, 24, 43",22,13,24,43,2,1,21,49
1213,2025-07-20,42 - 45 - 28 - 06 - 19 - 05,"05, 06, 19, 28, 42, 45",42,45,28,6,19,5,10,37
1212,2025-07-16,36 - 22 - 37 - 11 - 07 - 01,"01, 07, 11, 22, 36, 37",36,22,37,11,7,1,24,19
1211,2025-07-13,09 - 32 - 43 - 49 - 38 - 24,"09, 24, 32, 38, 43, 49",9,32,43,49,38,24,5,35 - 30
1210,2025-07-09,35 - 28 - 09 - 42 - 31 - 16,"09, 16, 28, 31, 35, 42",35,28,9,42,31,16,45,50 - 23
1209,2025-07-06,29 - 20 - 14 - 11 - 03 - 15,"03, 11, 14, 15, 20, 29",29,20,14,11,3,15,35,12 - 33 - 37
1208,2025-07-02,14 - 28 - 32 - 07 - 10 - 29,"07, 10, 14, 28, 29, 32",14,28,32,7,10,29,36,37 - 27 - 16
1207,2025-06-29,47 - 37 - 32 - 22 - 24 - 23,"22, 23, 24, 32, 37, 47",47,37,32,22,24,23,4,20 - 39 - 09
1206,2025-06-25,38 - 30 - 08 - 27 - 48 - 14,"08, 14, 27, 30, 38, 48",38,30,8,27,48,14,17,18
1205,2025-06-22,07 - 45 - 25 - 33 - 02 - 46,"02, 07, 25, 33, 45, 46",7,45,25,33,2,46,22,27 - 44
1204,2025-06-18,26 - 45 - 28 - 09 - 24 - 50,"09, 24, 26, 28, 45, 50",26,45,28,9,24,50,14,07
1203,2025-06-15,41 - 24 - 42 - 34 - 29 - 44,"24, 29, 34, 41, 42, 44",41,24,42,34,29,44,26,08 - 30 - 39
1202,2025-06-11,22 - 39 - 20 - 19 - 38 - 15,"15, 19, 20, 22, 38, 39",22,39,20,19,38,15,32,13 - 35 - 25
1201,2025-06-08,05 - 08 - 25 - 18 - 34 - 12,"05, 08, 12, 18, 25, 34",5,8,25,18,34,12,14,44
1200,2025-06-04,01 - 36 - 50 - 30 - 05 - 21,"01, 05, 21, 30, 36, 50",1,36,50,30,5,21,37,09 - 24 - 43
1199,2025-06-01,02 - 16 - 19 - 14 - 43 - 22,"02, 14, 16, 19, 22, 43",2,16,19,14,43,22,4,17 - 48 - 27
1198,2025-05-28,02 - 16 - 15 - 50 - 09 - 04,"02, 04, 09, 15, 16, 50",2,16,15,50,9,4,37,30 - 25 - 49 - 13
1197,2025-05-25,21 - 31 - 01 - 09 - 04 - 08,"01, 04, 08, 09, 21, 31",21,31,1,9,4,8,25,35 - 41 - 24
1196,2025-05-21,07 - 36 - 24 - 34 - 45 - 11,"07, 11, 24, 34, 36, 45",7,36,24,34,45,11,1,33 - 47
1195,2025-05-18,11 - 13 - 42 - 09 - 33 - 15,"09, 11, 13, 15, 33, 42",11,13,42,9,33,15,46,12
1194,2025-05-14,38 - 07 - 12 - 13 - 04 - 09,"04, 07, 09, 12, 13, 38",38,7,12,13,4,9,42,46 - 28
